"Table 1.2 Occupational projections, 2023–33, and worker characteristics, 2023 (Numbers in thousands)",,,,,,,,,,,,,,,
2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment distribution, percent, 2023","Employment distribution, percent, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Percent self employed, 2023","Occupational openings, 2023–33 annual average","Median annual wage, dollars, 2023[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content
        Veterinary technologists and technicians,29-2056,Line item,125.7,150.0,0.1,0.1,24.3,19.3,0.2,15.4,"43,740",Associate's degree,None,None,OOH Content
        Ophthalmic medical technicians,29-2057,Line item,74.8,85.3,0.0,0.0,10.5,14.1,—,10.6,"41,780",Postsecondary nondegree award,None,None,—
      Licensed practical and licensed vocational nurses,29-2061,Line item,657.8,674.7,0.4,0.4,16.9,2.6,0.7,54.0,"59,730",Postsecondary nondegree award,None,None,OOH Content
      Medical records specialists,29-2072,Line item,191.5,208.2,0.1,0.1,16.7,8.7,0.3,15.0,"48,780",Postsecondary nondegree award,None,None,OOH Content
"      Opticians, dispensing",29-2081,Line item,77.3,79.5,0.0,0.0,2.3,2.9,0.7,7.4,"44,170",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
      Miscellaneous health technologists and technicians,29-2090,Summary,197.5,212.9,0.1,0.1,15.4,7.8,1.7,16.1,"48,010",—,—,—,—
        Orthotists and prosthetists,29-2091,Line item,9.1,10.4,0.0,0.0,1.4,15.1,1.6,0.8,"78,100",Master's degree,None,Internship/residency,OOH Content
        Hearing aid specialists,29-2092,Line item,10.5,12.0,0.0,0.0,1.6,14.9,1.8,1.0,"58,670",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Health technologists and technicians, all other",29-2099,Line item,177.9,190.4,0.1,0.1,12.5,7.0,1.7,14.3,"47,470",Postsecondary nondegree award,None,None,—
    Other healthcare practitioners and technical occupations,29-9000,Summary,140.1,155.2,0.1,0.1,15.1,10.8,8.4,10.5,"61,020",—,—,—,—
      Health information technologists and medical registrars,29-9021,Line item,39.1,45.5,0.0,0.0,6.4,16.3,9.3,3.2,"62,990",Associate's degree,None,None,OOH Content
      Miscellaneous health practitioners and technical workers,29-9090,Summary,101.0,109.7,0.1,0.1,8.8,8.7,8.1,7.3,"60,410",—,—,—,—
        Athletic trainers,29-9091,Line item,34.3,38.7,0.0,0.0,4.3,12.7,7.4,2.7,"57,930",Master's degree,None,None,OOH Content
        Genetic counselors,29-9092,Line item,3.5,4.1,0.0,0.0,0.6,16.1,9.6,0.3,"95,770",Master's degree,None,None,OOH Content
        Surgical assistants,29-9093,Line item,21.3,22.7,0.0,0.0,1.4,6.7,10.1,1.5,"59,160",Postsecondary nondegree award,None,None,OOH Content
"        Healthcare practitioners and technical workers, all other",29-9099,Line item,41.9,44.3,0.0,0.0,2.4,5.8,7.6,2.9,"63,630",Postsecondary nondegree award,None,None,—
  Healthcare support occupations,31-0000,Summary,"7,516.9","8,659.3",4.5,5.0,"1,142.4",15.2,2.5,"1,261.1","36,140",—,—,—,—
"    Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides",31-1100,Summary,"5,467.3","6,352.8",3.3,3.6,885.5,16.2,2.1,940.3,"34,570",—,—,—,—
      Home health and personal care aides,31-1120,Line item,"3,961.9","4,782.4",2.4,2.7,820.5,20.7,2.5,718.9,"33,530",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"      Nursing assistants, orderlies, and psychiatric aides",31-1130,Summary,"1,505.4","1,570.4",0.9,0.9,65.0,4.3,1.2,221.5,"38,140",—,—,—,—
        Nursing assistants,31-1131,Line item,"1,419.4","1,481.8",0.8,0.8,62.4,4.4,1.2,208.6,"38,200",Postsecondary nondegree award,None,None,OOH Content
        Orderlies,31-1132,Line item,50.0,52.2,0.0,0.0,2.3,4.5,—,7.6,"36,830",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
        Psychiatric aides,31-1133,Line item,36.0,36.3,0.0,0.0,0.3,0.8,3.3,5.2,"39,160",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
    Occupational therapy and physical therapist assistants and aides,31-2000,Summary,204.9,244.5,0.1,0.1,39.6,19.3,1.0,35.3,"60,830",—,—,—,—
      Occupational therapy assistants and aides,31-2010,Summary,52.1,62.9,0.0,0.0,10.8,20.7,—,7.8,"65,450",—,—,—,—
        Occupational therapy assistants,31-2011,Line item,47.5,58.1,0.0,0.0,10.6,22.3,—,7.2,"67,010",Associate's degree,None,None,OOH Content
        Occupational therapy aides,31-2012,Line item,4.6,4.8,0.0,0.0,0.2,3.7,—,0.6,"36,970",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
      Physical therapist assistants and aides,31-2020,Summary,152.8,181.6,0.1,0.1,28.8,18.9,1.3,27.5,"58,740",—,—,—,—
        Physical therapist assistants,31-2021,Line item,108.5,136.0,0.1,0.1,27.5,25.4,1.3,20.8,"64,080",Associate's degree,None,None,OOH Content
        Physical therapist aides,31-2022,Line item,44.3,45.6,0.0,0.0,1.3,2.9,1.3,6.8,"33,520",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
    Other healthcare support occupations,31-9000,Summary,"1,844.7","2,062.0",1.1,1.2,217.3,11.8,3.7,285.4,"43,330",—,—,—,—
      Massage therapists,31-9011,Line item,147.1,173.2,0.1,0.1,26.0,17.7,36.5,22.8,"55,310",Postsecondary nondegree award,None,None,OOH Content
      Miscellaneous healthcare support occupations,31-9090,Summary,"1,697.6","1,888.9",1.0,1.1,191.3,11.3,0.8,262.6,"42,880",—,—,—,—
        Dental assistants,31-9091,Line item,376.5,408.0,0.2,0.2,31.5,8.4,0.8,54.9,"46,540",Postsecondary nondegree award,None,None,OOH Content
        Medical assistants,31-9092,Line item,783.9,901.9,0.5,0.5,118.0,15.0,0.3,119.8,"42,000",Postsecondary nondegree award,None,None,OOH Content
        Medical equipment preparers,31-9093,Line item,70.7,74.7,0.0,0.0,4.0,5.7,3.3,10.0,"45,280",High school diploma or equivalent,None,Moderate-term on-the-job training,—
        Medical transcriptionists,31-9094,Line item,54.5,51.9,0.0,0.0,-2.6,-4.7,2.8,9.6,"37,060",Postsecondary nondegree award,None,None,OOH Content
        Pharmacy aides,31-9095,Line item,44.0,44.4,0.0,0.0,0.4,0.9,—,7.7,"36,200",High school diploma or equivalent,None,Short-term on-the-job training,—
        Veterinary assistants and laboratory animal caretakers,31-9096,Line item,118.2,141.1,0.1,0.1,22.9,19.4,—,25.8,"36,440",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
        Phlebotomists,31-9097,Line item,141.2,152.2,0.1,0.1,11.0,7.8,1.4,19.6,"41,810",Postsecondary nondegree award,None,None,OOH Content
"        Healthcare support workers, all other",31-9099,Line item,108.5,114.6,0.1,0.1,6.1,5.6,2.4,15.3,"44,490",High school diploma or equivalent,None,None,—
  Protective service occupations,33-0000,Summary,"3,630.7","3,704.7",2.2,2.1,74.0,2.0,0.2,419.3,"47,760",—,—,—,—
    Supervisors of protective service workers,33-1000,Summary,375.6,387.1,0.2,0.2,11.6,3.1,0.4,29.5,"81,240",—,—,—,—
      First-line supervisors of law enforcement workers,33-1010,Summary,200.0,204.6,0.1,0.1,4.6,2.3,—,14.4,"93,800",—,—,—,—
        First-line supervisors of correctional officers,33-1011,Line item,55.5,54.6,0.0,0.0,-0.9,-1.6,—,4.4,"70,530",High school diploma or equivalent,Less than 5 years,None,—
        First-line supervisors of police and detectives,33-1012,Line item,144.5,150.0,0.1,0.1,5.5,3.8,—,10.0,"101,750",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,—
      First-line supervisors of firefighting and prevention workers,33-1021,Line item,87.0,90.7,0.1,0.1,3.6,4.2,—,5.8,"86,220",Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training,—
"      Miscellaneous first-line supervisors, protective service workers",33-1090,Summary,88.5,91.8,0.1,0.1,3.3,3.8,1.6,9.3,"57,590",—,—,—,—
        First-line supervisors of security workers,33-1091,Line item,67.8,70.3,0.0,0.0,2.5,3.7,1.8,7.1,"54,580",High school diploma or equivalent,Less than 5 years,None,—
"        First-line supervisors of protective service workers, all other",33-1099,Line item,20.7,21.6,0.0,0.0,0.8,4.0,0.8,2.2,"65,050",High school diploma or equivalent,Less than 5 years,None,—
    Firefighting and prevention workers,33-2000,Summary,344.1,358.8,0.2,0.2,14.7,4.3,—,27.2,"57,900",—,—,—,—
      Firefighters,33-2011,Line item,326.8,340.5,0.2,0.2,13.7,4.2,—,25.7,"57,120",Postsecondary nondegree award,None,Long-term on-the-job training,OOH Content
      Fire inspectors,33-2020,Summary,17.3,18.3,0.0,0.0,1.1,6.2,—,1.5,"71,420",—,—,—,—
        Fire inspectors and investigators,33-2021,Line item,14.9,15.5,0.0,0.0,0.7,4.5,—,1.3,"74,160",Postsecondary nondegree award,5 years or more,Moderate-term on-the-job training,OOH Content
        Forest fire inspectors and prevention specialists,33-2022,Line item,2.4,2.8,0.0,0.0,0.4,16.3,—,0.2,"54,080",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content
    Law enforcement workers,33-3000,Summary,"1,192.3","1,195.9",0.7,0.7,3.6,0.3,0.0,94.8,"66,030",—,—,—,—
"      Bailiffs, correctional officers, and jailers",33-3010,Summary,387.5,362.5,0.2,0.2,-25.1,-6.5,0.0,31.0,"53,290",—,—,—,—
        Bailiffs,33-3011,Line item,16.7,16.5,0.0,0.0,-0.2,-1.4,—,1.9,"53,040",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
        Correctional officers and jailers,33-3012,Line item,370.9,346.0,0.2,0.2,-24.8,-6.7,0.0,29.1,"53,300",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Detectives and criminal investigators,33-3021,Line item,113.4,116.0,0.1,0.1,2.6,2.3,—,8.5,"91,100",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content
      Fish and game wardens,33-3031,Line item,6.8,6.5,0.0,0.0,-0.3,-5.0,—,0.6,"60,380",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
      Parking enforcement workers,33-3041,Line item,7.9,7.9,0.0,0.0,0.0,-0.4,—,0.7,"46,840",High school diploma or equivalent,None,Short-term on-the-job training,—
      Police officers,33-3050,Summary,676.6,703.0,0.4,0.4,26.4,3.9,—,54.0,"72,260",—,—,—,—
        Police and sheriff's patrol officers,33-3051,Line item,674.2,700.6,0.4,0.4,26.4,3.9,—,53.8,"72,280",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
        Transit and railroad police,33-3052,Line item,2.4,2.5,0.0,0.0,0.1,3.5,—,0.2,"72,250",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
    Other protective service workers,33-9000,Summary,"1,718.8","1,762.9",1.0,1.0,44.1,2.6,0.3,267.8,"36,920",—,—,—,—
      Animal control workers,33-9011,Line item,12.0,12.6,0.0,0.0,0.6,4.9,—,1.3,"43,170",High school diploma or equivalent,None,Moderate-term on-the-job training,—
      Private detectives and investigators,33-9021,Line item,38.8,40.7,0.0,0.0,1.9,5.0,9.9,3.6,"49,540",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content
      Security guards and gambling surveillance officers,33-9030,Summary,"1,240.7","1,267.6",0.7,0.7,26.9,2.2,0.2,162.4,"37,090",—,—,—,—
        Gambling surveillance officers and gambling investigators,33-9031,Line item,11.0,11.3,0.0,0.0,0.3,2.6,—,1.5,"39,210",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content
        Security guards,33-9032,Line item,"1,229.6","1,256.3",0.7,0.7,26.6,2.2,0.2,161.0,"37,070",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
      Miscellaneous protective service workers,33-9090,Summary,427.3,441.9,0.3,0.3,14.6,3.4,0.0,100.5,"35,730",—,—,—,—
        Crossing guards and flaggers,33-9091,Line item,93.0,97.2,0.1,0.1,4.2,4.5,—,19.5,"36,370",No formal educational credential,None,Short-term on-the-job training,—
"        Lifeguards, ski patrol, and other recreational protective service workers",33-9092,Line item,129.1,137.9,0.1,0.1,8.8,6.8,0.1,39.5,"30,380",No formal educational credential,None,Short-term on-the-job training,—
        Transportation security screeners,33-9093,Line item,51.7,52.2,0.0,0.0,0.5,0.9,—,5.1,"50,020",High school diploma or equivalent,None,Short-term on-the-job training,—
        School bus monitors,33-9094,Line item,70.1,68.4,0.0,0.0,-1.7,-2.4,—,11.6,"33,130",High school diploma or equivalent,None,Short-term on-the-job training,—
"        Protective service workers, all other",33-9099,Line item,83.5,86.3,0.0,0.0,2.8,3.3,—,24.8,"39,360",High school diploma or equivalent,None,Short-term on-the-job training,—
  Food preparation and serving related occupations,35-0000,Summary,"13,580.3","14,167.2",8.1,8.1,586.8,4.3,0.6,"2,683.4","32,240",—,—,—,—
    Supervisors of food preparation and serving workers,35-1000,Summary,"1,398.5","1,490.8",0.8,0.9,92.3,6.6,1.6,211.5,"40,950",—,—,—,—
      Chefs and head cooks,35-1011,Line item,187.1,202.6,0.1,0.1,15.5,8.3,4.4,24.6,"58,920",High school diploma or equivalent,5 years or more,None,OOH Content
      First-line supervisors of food preparation and serving workers,35-1012,Line item,"1,211.4","1,288.2",0.7,0.7,76.8,6.3,1.1,186.9,"38,520",High school diploma or equivalent,Less than 5 years,None,—
    Cooks and food preparation workers,35-2000,Summary,"3,664.1","3,789.0",2.2,2.2,125.0,3.4,1.1,596.6,"34,020",—,—,—,—
      Cooks,35-2010,Summary,"2,759.2","2,918.2",1.6,1.7,159.0,5.8,1.1,441.4,"34,320",—,—,—,—
"        Cooks, fast food",35-2011,Line item,682.2,588.5,0.4,0.3,-93.7,-13.7,—,85.9,"29,260",No formal educational credential,None,Short-term on-the-job training,OOH Content
"        Cooks, institution and cafeteria",35-2012,Line item,456.3,471.1,0.3,0.3,14.9,3.3,—,71.0,"35,320",No formal educational credential,None,Short-term on-the-job training,OOH Content
"        Cooks, private household",35-2013,Line item,37.8,35.4,0.0,0.0,-2.4,-6.3,83.9,5.2,"42,590",Postsecondary nondegree award,Less than 5 years,None,OOH Content
"        Cooks, restaurant",35-2014,Line item,"1,434.2","1,678.6",0.9,1.0,244.5,17.0,—,257.7,"35,780",No formal educational credential,Less than 5 years,Moderate-term on-the-job training,OOH Content
"        Cooks, short order",35-2015,Line item,128.8,123.5,0.1,0.1,-5.3,-4.1,—,18.4,"34,130",No formal educational credential,None,Short-term on-the-job training,OOH Content
"        Cooks, all other",35-2019,Line item,20.0,21.1,0.0,0.0,1.0,5.2,—,3.2,"35,920",No formal educational credential,None,Moderate-term on-the-job training,OOH Content
      Food preparation workers,35-2021,Line item,904.8,870.8,0.5,0.5,-34.0,-3.8,1.0,155.2,"32,420",No formal educational credential,None,Short-term on-the-job training,OOH Content
    Food and beverage serving workers,35-3000,Summary,"7,024.8","7,338.4",4.2,4.2,313.6,4.5,0.1,"1,568.6","30,160",—,—,—,—
      Bartenders,35-3011,Line item,734.3,798.9,0.4,0.5,64.5,8.8,0.5,134.6,"31,510",No formal educational credential,None,Short-term on-the-job training,OOH Content
      Fast food and counter workers,35-3023,Line item,"3,734.1","3,946.5",2.2,2.3,212.5,5.7,0.1,912.4,"29,540",No formal educational credential,None,Short-term on-the-job training,OOH Content
      Waiters and waitresses,35-3031,Line item,"2,277.9","2,300.8",1.4,1.3,22.9,1.0,0.1,471.2,"31,940",No formal educational credential,None,Short-term on-the-job training,OOH Content
"      Food servers, nonrestaurant",35-3041,Line item,278.6,292.2,0.2,0.2,13.7,4.9,0.2,50.4,"33,110",No formal educational credential,None,Short-term on-the-job training,OOH Content
    Other food preparation and serving related workers,35-9000,Summary,"1,493.0","1,548.9",0.9,0.9,56.0,3.7,0.5,306.6,"30,620",—,—,—,—
      Dining room and cafeteria attendants and bartender helpers,35-9011,Line item,493.8,534.7,0.3,0.3,40.9,8.3,0.1,99.4,"31,180",No formal educational credential,None,Short-term on-the-job training,OOH Content
      Dishwashers,35-9021,Line item,475.0,481.9,0.3,0.3,6.9,1.4,0.5,80.5,"31,200",No formal educational credential,None,Short-term on-the-job training,—
"      Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,Line item,435.6,437.0,0.3,0.3,1.4,0.3,1.0,110.4,"29,220",No formal educational credential,None,Short-term on-the-job training,OOH Content
"      Food preparation and serving related workers, all other",35-9099,Line item,88.6,95.3,0.1,0.1,6.8,7.6,—,16.4,"33,870",No formal educational credential,None,Short-term on-the-job training,—
  Building and grounds cleaning and maintenance occupations,37-0000,Summary,"5,640.5","5,817.4",3.4,3.3,176.9,3.1,12.0,786.8,"35,990",—,—,—,—
    Supervisors of building and grounds cleaning and maintenance workers,37-1000,Summary,464.0,481.6,0.3,0.3,17.6,3.8,34.0,54.0,"49,310",—,—,—,—
      First-line supervisors of housekeeping and janitorial workers,37-1011,Line item,241.6,251.4,0.1,0.1,9.8,4.0,26.1,30.0,"46,650",High school diploma or equivalent,Less than 5 years,None,—
"      First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,Line item,222.4,230.2,0.1,0.1,7.8,3.5,42.6,24.0,"55,740",High school diploma or equivalent,Less than 5 years,None,—
    Building cleaning and pest control workers,37-2000,Summary,"3,880.4","3,974.4",2.3,2.3,94.1,2.4,6.6,556.2,"34,780",—,—,—,—
      Building cleaning workers,37-2010,Summary,"3,782.2","3,869.3",2.3,2.2,87.2,2.3,6.7,543.1,"34,600",—,—,—,—
"        Janitors and cleaners, except maids and housekeeping cleaners",37-2011,Line item,"2,431.6","2,507.3",1.4,1.4,75.8,3.1,5.5,350.3,"35,020",No formal educational credential,None,Short-term on-the-job training,OOH Content
        Maids and housekeeping cleaners,37-2012,Line item,"1,335.5","1,346.2",0.8,0.8,10.8,0.8,9.0,190.6,"33,450",No formal educational credential,None,Short-term on-the-job training,—
"        Building cleaning workers, all other",37-2019,Line item,15.2,15.8,0.0,0.0,0.6,4.3,6.8,2.2,"39,900",No formal educational credential,None,Short-term on-the-job training,—
      Pest control workers,37-2021,Line item,98.2,105.1,0.1,0.1,6.9,7.0,3.4,13.1,"43,470",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
    Grounds maintenance workers,37-3000,Summary,"1,296.1","1,361.4",0.8,0.8,65.2,5.0,20.4,176.6,"37,690",—,—,—,—
      Landscaping and groundskeeping workers,37-3011,Line item,"1,188.2","1,248.3",0.7,0.7,60.1,5.1,20.8,161.9,"37,360",No formal educational credential,None,Short-term on-the-job training,OOH Content
"      Pesticide handlers, sprayers, and applicators, vegetation",37-3012,Line item,26.7,28.0,0.0,0.0,1.4,5.1,0.3,3.9,"44,070",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Tree trimmers and pruners,37-3013,Line item,67.1,70.4,0.0,0.0,3.2,4.8,24.1,8.7,"49,070",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
